,,H-301,396,,,,,,,,,,〇,〇,,,〇,,,,,,,,,,,,
,,H-302,54,,,〇,〇,〇,,,,〇,〇,〇,,〇,〇,〇,,,,,,,,,,,
,,H-303,36,〇,〇,,〇,〇,〇,,,,〇,〇,〇,〇,〇,〇,〇,〇,,〇,〇,〇,,,,,
,,H-304,36,,,,,,〇,〇,,,〇,〇,,,〇,〇,〇,〇,,,〇,,,,〇,,
,,H-305,36,,〇,,,〇,〇,,,〇,〇,〇,〇,,,〇,〇,〇,,,〇,〇,〇,,,〇,
,第4別館,4別-202,300,,,,,,,,,,〇,,〇,,,〇,,,,,,,,,,,
,,4別-205,51,,,,,〇,〇,,,,,,,〇,,,,,,,,,,,,,
,,4別-401,99,〇,〇,,,,〇,〇,,〇,〇,〇,,〇,〇,〇,〇,,,〇,〇,〇,〇,,,〇,
,,4別-402,203,〇,,〇,,,〇,,,,,〇,〇,〇,〇,〇,〇,,,,〇,〇,,〇,〇,〇,
,,4別-403,144,〇,〇,,,,,,,〇,〇,〇,,,〇,〇,〇,,,〇,〇,〇,,〇,〇,〇,
,第5別館,5別-1,460,,,,,,,,,,〇,〇,,,〇,,,,,,,,,,,,
,,5別-2,460,〇,,〇,,,〇,,,,〇,〇,,,〇,,,,,,,,,,,,
,,5別-3,506,〇,,,,〇,〇,,,,,〇,,,,〇,,,,,,,,,,,
,,5別-4,506,,,,,〇,,,,,,,,,〇,〇,,,,,,,,,,,
,,5別-5,288,,,,,〇,〇,,,,,〇,,,〇,〇,〇,,〇,,,〇,,〇,〇,〇,
,,5別-6,288,〇,,〇,,〇,,〇,,,〇,〇,,,〇,〇,,,,,,,,,,,
,,5別-307,90,,〇,,〇,〇,〇,,,〇,〇,〇,,〇,〇,〇,〇,,,〇,〇,〇,,,,〇,
,,5別-308,36,〇,,,,〇,〇,,,〇,,〇,,,〇,〇,〇,,,〇,,〇,〇,〇,〇,〇,
,,5別-309,36,,,,,,〇,〇,,,〇,〇,〇,,,,,,,,,,,,,,
,メディア研究棟,MR-201,45,〇,〇,,〇,〇,〇,〇,〇,〇,,〇,,,,,〇,,,〇,,,,〇,〇,〇,
,,MR-202,54,〇,,,,〇,,〇,,,,〇,,,,〇,〇,〇,,〇,〇,,,,,〇,
,,MR-203,27,〇,,,,〇,,,,,〇,〇,〇,,,〇,〇,〇,,,〇,,,,,,
,大学院1号館,院1-102,22,〇,〇,〇,〇,,〇,,〇,〇,,,,〇,〇,〇,〇,〇,〇,〇,〇,〇,,〇,〇,〇,
,,院1-205,54,〇,〇,,〇,〇,〇,,,〇,,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,
,,院1-207,41,〇,〇,〇,〇,〇,〇,〇,,,〇,〇,〇,〇,〇,〇,〇,,,〇,〇,〇,〇,〇,〇,〇,
,,院1-208,41,〇,,,,〇,〇,〇,〇,〇,,〇,〇,,,〇,〇,〇,,〇,〇,〇,〇,〇,〇,〇,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
